Wolf Kibel, 1903-1938
Bryan Everard Haden, 1930-
Bronwen Heath, 1944-
Otto Klar, 1908-1994
Frederick Timpson I'Ons, 1802-1887
Johannes Meintjes, 1923-1980
Derek Milton Leigh, 1940-1993
Jack Lugg, 1924-2013
Judith Mason, 1938-2016
Judith Mason and Helen Segal, 20th Century
Leonard Matsoso, 1949-
Cathcart William Methven, 1849-1925
Ezrom Legae, 1938-1999
Gladys Mgudlandlu, 1925-1979
Ronald Mylchreest, 1920-1994
Amos Langdown, 1930-2006
Anton van Wouw, 1862-1945
Louis Maqhubela, 1939-
Lizza Littlewort, 1963-
Tamar Mason, 1966-
Maggie Laubser, 1886-1973
Ernest Mancoba, 1904-2002
Moshekwa Langa, 1975-
Tommy Motswai, 1963-
Vladimir Tretchikoff, 1913-2006
Senzeni Marasela, 1977-
Julius Mfethe, 1956-2008
Mustafa Maluka, 1976-
Erich Mayer, 1876-1960
Aileen Lipkin, 1933-1994
Dumisani Mabaso, 1955-
David Mogano, 1932-2000
Michael Maimane, 1961-
Ayanda Mabulu, 1981-
Anton Momberg, 1951-
Alexis Preller, 1911-1975
Maja Marx, 1977-
Freida Lock, 1902-1962
Kim Lieberman, 1969-
Digkwele Paul Molete, 20th Century
Brett Murray, 1961-
Erik Laubscher, 1927-2013
Bronwyn Lace, 1980-
Don (Donald James) Madge, 1920-1997
John Moore, 1972-
Noria Mabasa, 1938-
Longford Macdonald, 1905-1957
Otto Landsberg, 1803-1905
Nelson Makamo, 1982-
Ledelle Moe, 1971-
Clare Menck, 1969-
Virginia MacKenny, 1959-
Celeste Matthews, 1943-
Zwelethu Mthethwa, 1960-
Tim Morris, 1941-1990
Santu Mofokeng, 1956-
Robert Leggat, 1963-
Robert Hodgins, 1920-2010
William Kentridge, 1955-
Michael MacGarry, 1978-
"William Kentridge, Gerhard Marx", 20th Century
Robin Lewis, 1942-1988
Zanele Muholi, 1972-
Aleta Michaletos, 1952 -
Trevor Makhoba, 1956-2003
Nat (Nathaniel) Mokgosi, 1946-
Walter Battiss, 1906-1982
Eugene Labuschagne, 1921-1990
Dirk Meerkotter, 1922-2017
Jacob Hendrik Pierneef, 1886-1957
Lawrence Lemaoana, 1982-
Mohau Modisakeng, 1986-
Dylan Lewis, 1964-
Walter Meyer, 1965-2017
Lippy (Israel-Isaac) Lipshitz, 1903-1980
Avhashoni Mainganye, 1957-
Irma Stern, 1894-1966
Terence McCaw, 1913-1978
Speelman Mahlangu, 1958-2004
Azaria Mbatha, 1941-
Joe (Joseph Ramapulane) Maseko, 1940-2008
John Meyer, 1942-
Kemang Wa Lehulere, 1984-
Brett Murray and Conrad Botes, 1961 and 1969
Gerhard Marx, 1976-
Alfred Neville Lewis, 1895-1972
Greg Marinovich, 1962-
Zwelethu Mthethwa in collaboration with Sam Nhlengethwa, 20th Century
Clifford Mpai, 1937-
Gregoire Boonzaier, 1909-2005
David Moon, 1938-
Billy Monk, 1937-1982
Leonie Marinovich, 1972-
Johann Louw, 1965-
Nicky Leigh, 1966-2017
Simon Moroke Lekgetho, 1929-1985
Edward Clark Churchill Mace, 1863-1928
Nicolaas Maritz, 1959-
Ben Macala, 1938-1997
Michelle Legg,
John Koenakeefe Mohl, 1903-1985
Johannes Maswanganyi, 1949-
George Velaphi Mzimba, 1959-
Julian Motau, 1948-1987
Valerie Leigh, 1935-2018
Colbert Mashile, 1972-
Elza Miles, 1938-
Cecil Skotnes, 1926-2009
Kagiso Patrick Mautloa, 1952-
Esther Mahlangu, 1935-
Andrew James Jowett Murray, 1917-1998
Thijs Nel, 1943-
Jo Ractliffe, 1961-
